participant,prime,target,response_time
1,positive,positive,1502
2,positive,positive,1535
3,positive,positive,1563
4,positive,positive,1492
5,positive,positive,1560
6,positive,positive,1552
7,positive,positive,1554
8,positive,positive,1606
9,positive,positive,1489
10,positive,positive,1613
11,positive,positive,1513
12,positive,positive,1493
13,positive,positive,1514
14,positive,positive,1563
15,positive,positive,1558
16,positive,positive,1535
17,positive,positive,1502
18,positive,positive,1518
19,positive,positive,1611
20,positive,positive,1560
21,positive,positive,1521
22,positive,positive,1503
23,positive,positive,1540
24,positive,positive,1467
25,positive,positive,1526
26,positive,positive,1513
27,positive,positive,1608
28,positive,positive,1601
29,positive,positive,1546
30,positive,positive,1493
31,positive,positive,1595
32,positive,positive,1593
33,positive,positive,1586
34,positive,positive,1587
35,positive,positive,1532
36,positive,positive,1585
37,positive,positive,1615
38,positive,positive,1552
39,positive,positive,1501
40,positive,positive,1590
41,positive,positive,1589
42,positive,positive,1534
43,positive,positive,1635
44,positive,positive,1510
45,positive,positive,1567
46,positive,positive,1437
47,positive,positive,1542
48,positive,positive,1607
49,positive,positive,1527
50,positive,positive,1505
51,positive,positive,1586
52,positive,positive,1510
53,positive,positive,1563
54,positive,positive,1463
55,positive,positive,1479
56,positive,positive,1527
57,positive,positive,1498
58,positive,positive,1618
59,positive,positive,1596
60,positive,positive,1511
61,positive,positive,1579
62,positive,positive,1596
63,positive,positive,1563
64,positive,positive,1568
65,positive,positive,1609
66,positive,positive,1526
67,positive,positive,1529
68,positive,positive,1598
69,positive,positive,1486
70,positive,positive,1559
71,positive,positive,1548
72,positive,positive,1573
73,positive,positive,1601
74,positive,positive,1563
75,positive,positive,1562
76,positive,positive,1587
77,positive,positive,1611
78,positive,positive,1569
79,positive,positive,1501
80,positive,positive,1542
81,positive,positive,1637
82,positive,positive,1532
83,positive,positive,1584
84,positive,positive,1611
85,positive,positive,1590
86,positive,positive,1550
87,positive,positive,1561
88,positive,positive,1506
89,positive,positive,1572
90,positive,positive,1506
91,positive,positive,1507
92,positive,positive,1501
93,positive,positive,1517
94,positive,positive,1603
95,positive,positive,1530
96,positive,positive,1546
97,positive,positive,1527
98,positive,positive,1577
99,positive,positive,1597
100,positive,positive,1540
101,positive,positive,1581
102,positive,positive,1530
103,positive,positive,1603
104,positive,positive,1580
105,positive,positive,1601
106,positive,positive,1580
107,positive,positive,1560
108,positive,positive,1455
109,positive,positive,1516
110,positive,positive,1574
111,positive,positive,1527
112,positive,positive,1536
113,positive,positive,1529
114,positive,positive,1631
115,positive,positive,1514
116,positive,positive,1527
117,positive,positive,1551
118,positive,positive,1561
119,positive,positive,1559
120,positive,positive,1547
121,positive,positive,1475
122,positive,positive,1568
123,positive,positive,1576
124,positive,positive,1526
125,positive,positive,1584
126,positive,positive,1512
127,positive,positive,1569
128,positive,positive,1517
129,positive,positive,1464
130,positive,positive,1608
131,positive,positive,1585
132,positive,positive,1557
133,positive,positive,1625
134,positive,positive,1468
135,positive,positive,1556
136,positive,positive,1430
137,positive,positive,1622
138,positive,positive,1506
139,positive,positive,1485
140,positive,positive,1506
141,positive,positive,1492
142,positive,positive,1451
143,positive,positive,1501
144,positive,positive,1542
145,positive,positive,1596
146,positive,positive,1570
147,positive,positive,1488
148,positive,positive,1518
1,positive,negative,1657
2,positive,negative,1581
3,positive,negative,1495
4,positive,negative,1692
5,positive,negative,1584
6,positive,negative,1603
7,positive,negative,1614
8,positive,negative,1571
9,positive,negative,1563
10,positive,negative,1511
11,positive,negative,1494
12,positive,negative,1683
13,positive,negative,1527
14,positive,negative,1606
15,positive,negative,1608
16,positive,negative,1640
17,positive,negative,1652
18,positive,negative,1595
19,positive,negative,1621
20,positive,negative,1504
21,positive,negative,1593
22,positive,negative,1621
23,positive,negative,1572
24,positive,negative,1539
25,positive,negative,1572
26,positive,negative,1532
27,positive,negative,1535
28,positive,negative,1618
29,positive,negative,1668
30,positive,negative,1475
31,positive,negative,1480
32,positive,negative,1508
33,positive,negative,1576
34,positive,negative,1516
35,positive,negative,1580
36,positive,negative,1572
37,positive,negative,1538
38,positive,negative,1533
39,positive,negative,1494
40,positive,negative,1594
41,positive,negative,1668
42,positive,negative,1539
43,positive,negative,1492
44,positive,negative,1526
45,positive,negative,1592
46,positive,negative,1599
47,positive,negative,1694
48,positive,negative,1491
49,positive,negative,1563
50,positive,negative,1550
51,positive,negative,1497
52,positive,negative,1527
53,positive,negative,1493
54,positive,negative,1574
55,positive,negative,1614
56,positive,negative,1478
57,positive,negative,1537
58,positive,negative,1633
59,positive,negative,1476
60,positive,negative,1638
61,positive,negative,1485
62,positive,negative,1501
63,positive,negative,1542
64,positive,negative,1514
65,positive,negative,1602
66,positive,negative,1536
67,positive,negative,1596
68,positive,negative,1529
69,positive,negative,1577
70,positive,negative,1651
71,positive,negative,1633
72,positive,negative,1581
73,positive,negative,1570
74,positive,negative,1644
75,positive,negative,1512
76,positive,negative,1593
77,positive,negative,1532
78,positive,negative,1682
79,positive,negative,1545
80,positive,negative,1554
81,positive,negative,1608
82,positive,negative,1590
83,positive,negative,1500
84,positive,negative,1545
85,positive,negative,1580
86,positive,negative,1476
87,positive,negative,1524
88,positive,negative,1547
89,positive,negative,1510
90,positive,negative,1514
91,positive,negative,1582
92,positive,negative,1544
93,positive,negative,1546
94,positive,negative,1624
95,positive,negative,1575
96,positive,negative,1624
97,positive,negative,1612
98,positive,negative,1593
99,positive,negative,1544
100,positive,negative,1583
101,positive,negative,1584
102,positive,negative,1687
103,positive,negative,1533
104,positive,negative,1628
105,positive,negative,1567
106,positive,negative,1521
107,positive,negative,1654
108,positive,negative,1588
109,positive,negative,1468
110,positive,negative,1532
111,positive,negative,1559
112,positive,negative,1452
113,positive,negative,1649
114,positive,negative,1598
115,positive,negative,1536
116,positive,negative,1536
117,positive,negative,1577
118,positive,negative,1511
119,positive,negative,1533
120,positive,negative,1563
121,positive,negative,1565
122,positive,negative,1618
123,positive,negative,1580
124,positive,negative,1553
125,positive,negative,1541
126,positive,negative,1624
127,positive,negative,1525
128,positive,negative,1588
129,positive,negative,1575
130,positive,negative,1571
131,positive,negative,1606
132,positive,negative,1516
133,positive,negative,1560
134,positive,negative,1550
135,positive,negative,1448
136,positive,negative,1584
137,positive,negative,1641
138,positive,negative,1500
139,positive,negative,1643
140,positive,negative,1570
141,positive,negative,1629
142,positive,negative,1517
143,positive,negative,1594
144,positive,negative,1531
145,positive,negative,1526
146,positive,negative,1579
147,positive,negative,1626
148,positive,negative,1576
1,negative,positive,1535
2,negative,positive,1623
3,negative,positive,1545
4,negative,positive,1601
5,negative,positive,1497
6,negative,positive,1598
7,negative,positive,1520
8,negative,positive,1541
9,negative,positive,1492
10,negative,positive,1736
11,negative,positive,1499
12,negative,positive,1570
13,negative,positive,1565
14,negative,positive,1516
15,negative,positive,1573
16,negative,positive,1593
17,negative,positive,1598
18,negative,positive,1448
19,negative,positive,1515
20,negative,positive,1552
21,negative,positive,1557
22,negative,positive,1535
23,negative,positive,1586
24,negative,positive,1562
25,negative,positive,1514
26,negative,positive,1606
27,negative,positive,1543
28,negative,positive,1565
29,negative,positive,1666
30,negative,positive,1570
31,negative,positive,1512
32,negative,positive,1546
33,negative,positive,1568
34,negative,positive,1504
35,negative,positive,1464
36,negative,positive,1536
37,negative,positive,1587
38,negative,positive,1514
39,negative,positive,1594
40,negative,positive,1636
41,negative,positive,1570
42,negative,positive,1645
43,negative,positive,1574
44,negative,positive,1531
45,negative,positive,1552
46,negative,positive,1684
47,negative,positive,1614
48,negative,positive,1577
49,negative,positive,1571
50,negative,positive,1563
51,negative,positive,1575
52,negative,positive,1635
53,negative,positive,1591
54,negative,positive,1564
55,negative,positive,1440
56,negative,positive,1562
57,negative,positive,1577
58,negative,positive,1582
59,negative,positive,1571
60,negative,positive,1566
61,negative,positive,1460
62,negative,positive,1635
63,negative,positive,1578
64,negative,positive,1582
65,negative,positive,1598
66,negative,positive,1580
67,negative,positive,1461
68,negative,positive,1506
69,negative,positive,1613
70,negative,positive,1666
71,negative,positive,1535
72,negative,positive,1580
73,negative,positive,1662
74,negative,positive,1550
75,negative,positive,1629
76,negative,positive,1534
77,negative,positive,1524
78,negative,positive,1551
79,negative,positive,1540
80,negative,positive,1601
81,negative,positive,1521
82,negative,positive,1513
83,negative,positive,1581
84,negative,positive,1665
85,negative,positive,1538
86,negative,positive,1505
87,negative,positive,1534
88,negative,positive,1536
89,negative,positive,1566
90,negative,positive,1556
91,negative,positive,1542
92,negative,positive,1458
93,negative,positive,1522
94,negative,positive,1481
95,negative,positive,1546
96,negative,positive,1525
97,negative,positive,1551
98,negative,positive,1549
99,negative,positive,1606
100,negative,positive,1504
101,negative,positive,1527
102,negative,positive,1516
103,negative,positive,1553
104,negative,positive,1575
105,negative,positive,1668
106,negative,positive,1604
107,negative,positive,1585
108,negative,positive,1566
109,negative,positive,1545
110,negative,positive,1599
111,negative,positive,1666
112,negative,positive,1587
113,negative,positive,1637
114,negative,positive,1643
115,negative,positive,1536
116,negative,positive,1542
117,negative,positive,1534
118,negative,positive,1580
119,negative,positive,1544
120,negative,positive,1526
121,negative,positive,1642
122,negative,positive,1526
123,negative,positive,1544
124,negative,positive,1528
125,negative,positive,1592
126,negative,positive,1561
127,negative,positive,1571
128,negative,positive,1548
129,negative,positive,1561
130,negative,positive,1498
131,negative,positive,1500
132,negative,positive,1574
133,negative,positive,1646
134,negative,positive,1507
135,negative,positive,1554
136,negative,positive,1528
137,negative,positive,1607
138,negative,positive,1656
139,negative,positive,1510
140,negative,positive,1587
141,negative,positive,1562
142,negative,positive,1544
143,negative,positive,1574
144,negative,positive,1543
145,negative,positive,1566
146,negative,positive,1587
147,negative,positive,1617
148,negative,positive,1496
1,negative,negative,1596
2,negative,negative,1508
3,negative,negative,1479
4,negative,negative,1417
5,negative,negative,1592
6,negative,negative,1669
7,negative,negative,1551
8,negative,negative,1468
9,negative,negative,1574
10,negative,negative,1499
11,negative,negative,1605
12,negative,negative,1493
13,negative,negative,1549
14,negative,negative,1565
15,negative,negative,1710
16,negative,negative,1554
17,negative,negative,1579
18,negative,negative,1576
19,negative,negative,1528
20,negative,negative,1516
21,negative,negative,1658
22,negative,negative,1580
23,negative,negative,1531
24,negative,negative,1586
25,negative,negative,1635
26,negative,negative,1604
27,negative,negative,1589
28,negative,negative,1553
29,negative,negative,1496
30,negative,negative,1550
31,negative,negative,1652
32,negative,negative,1494
33,negative,negative,1607
34,negative,negative,1519
35,negative,negative,1440
36,negative,negative,1489
37,negative,negative,1548
38,negative,negative,1630
39,negative,negative,1596
40,negative,negative,1591
41,negative,negative,1601
42,negative,negative,1526
43,negative,negative,1632
44,negative,negative,1518
45,negative,negative,1481
46,negative,negative,1537
47,negative,negative,1634
48,negative,negative,1423
49,negative,negative,1551
50,negative,negative,1648
51,negative,negative,1531
52,negative,negative,1596
53,negative,negative,1478
54,negative,negative,1494
55,negative,negative,1501
56,negative,negative,1547
57,negative,negative,1443
58,negative,negative,1487
59,negative,negative,1554
60,negative,negative,1559
61,negative,negative,1559
62,negative,negative,1561
63,negative,negative,1518
64,negative,negative,1563
65,negative,negative,1527
66,negative,negative,1490
67,negative,negative,1556
68,negative,negative,1498
69,negative,negative,1540
70,negative,negative,1501
71,negative,negative,1553
72,negative,negative,1444
73,negative,negative,1599
74,negative,negative,1569
75,negative,negative,1586
76,negative,negative,1644
77,negative,negative,1530
78,negative,negative,1556
79,negative,negative,1520
80,negative,negative,1571
81,negative,negative,1523
82,negative,negative,1608
83,negative,negative,1582
84,negative,negative,1544
85,negative,negative,1559
86,negative,negative,1524
87,negative,negative,1553
88,negative,negative,1541
89,negative,negative,1480
90,negative,negative,1561
91,negative,negative,1506
92,negative,negative,1542
93,negative,negative,1538
94,negative,negative,1549
95,negative,negative,1534
96,negative,negative,1529
97,negative,negative,1499
98,negative,negative,1605
99,negative,negative,1591
100,negative,negative,1558
101,negative,negative,1552
102,negative,negative,1604
103,negative,negative,1569
104,negative,negative,1496
105,negative,negative,1559
106,negative,negative,1629
107,negative,negative,1537
108,negative,negative,1567
109,negative,negative,1544
110,negative,negative,1500
111,negative,negative,1499
112,negative,negative,1592
113,negative,negative,1592
114,negative,negative,1573
115,negative,negative,1487
116,negative,negative,1495
117,negative,negative,1455
118,negative,negative,1575
119,negative,negative,1515
120,negative,negative,1639
121,negative,negative,1538
122,negative,negative,1444
123,negative,negative,1521
124,negative,negative,1524
125,negative,negative,1576
126,negative,negative,1519
127,negative,negative,1560
128,negative,negative,1479
129,negative,negative,1570
130,negative,negative,1608
131,negative,negative,1566
132,negative,negative,1499
133,negative,negative,1555
134,negative,negative,1600
135,negative,negative,1605
136,negative,negative,1564
137,negative,negative,1530
138,negative,negative,1614
139,negative,negative,1537
140,negative,negative,1493
141,negative,negative,1563
142,negative,negative,1582
143,negative,negative,1480
144,negative,negative,1474
145,negative,negative,1535
146,negative,negative,1575
147,negative,negative,1505
148,negative,negative,1471
